,open,close,high,low,volume
2018-01-01 00:00:00,8.5478,8.3477,8.5478,8.3477,28492.81
2018-01-01 00:30:00,8.3733,8.3559,8.375,8.246,20994.329999999998
2018-01-01 01:00:00,8.3558,8.372,8.3997,8.2,13187.399999999998
2018-01-01 01:30:00,8.3731,8.2199,8.3731,8.1305,11805.229999999998
2018-01-01 02:00:00,8.22,8.2636,8.3488,8.202,14270.63
2018-01-01 02:30:00,8.2636,8.2235,8.3468,8.2234,14662.37
2018-01-01 03:00:00,8.2972,8.4326,8.4326,8.2282,24773.769999999993
2018-01-01 03:30:00,8.4323,8.3401,8.4326,8.3333,8157.4000000000015
2018-01-01 04:00:00,8.3612,8.4299,8.43,8.341,5857.49
2018-01-01 04:30:00,8.4068,8.5,8.5,8.3429,8745.06
2018-01-01 05:00:00,8.4854,8.5455,8.7,8.4842,11954.769999999999
2018-01-01 05:30:00,8.5455,8.4404,8.5818,8.415,9732.25
2018-01-01 06:00:00,8.4531,8.4722,8.5015,8.418,4765.599999999999
2018-01-01 06:30:00,8.4898,8.5532,8.5809,8.4659,7928.500000000001
2018-01-01 07:00:00,8.5533,8.55,8.66,8.49,23860.76
2018-01-01 07:30:00,8.55,8.36,8.5534,8.3454,27460.27
2018-01-01 08:00:00,8.3852,8.4759,8.53,8.3334,14348.94
2018-01-01 08:30:00,8.4704,8.3706,8.4981,8.35,8527.630000000001
2018-01-01 09:00:00,8.3927,8.39,8.4728,8.3355,8857.939999999999
2018-01-01 09:30:00,8.39,8.4405,8.4406,8.3638,7379.6500000000015
2018-01-01 10:00:00,8.4405,8.3583,8.4409,8.3333,8186.499999999999
2018-01-01 10:30:00,8.3826,8.3827,8.3827,8.353,5240.849999999999
2018-01-01 11:00:00,8.3827,8.1304,8.3827,8.1,33575.3
2018-01-01 11:30:00,8.1304,8.1599,8.1994,8.0703,27489.099999999995
2018-01-01 12:00:00,8.18,8.17,8.33,8.1144,11234.750000000002
2018-01-01 12:30:00,8.17,8.2,8.22,8.1588,17886.03
2018-01-01 13:00:00,8.2,8.038,8.212,8.0,23008.53
2018-01-01 13:30:00,8.038,7.9523,8.1741,7.9285,24736.4
2018-01-01 14:00:00,7.9642,7.9314,8.05,7.8,22608.86999999999
2018-01-01 14:30:00,7.9319,8.0944,8.1829,7.9011,26964.389999999996
2018-01-01 15:00:00,8.117,8.1402,8.1779,8.0203,13785.489999999998
2018-01-01 15:30:00,8.1402,8.1101,8.2,8.1011,16537.379999999997
2018-01-01 16:00:00,8.116,8.0201,8.1336,8.0,12382.919999999998
2018-01-01 16:30:00,8.0655,8.0101,8.107,8.0001,7799.490000000001
2018-01-01 17:00:00,8.0193,8.0862,8.1095,8.0112,2245.81
2018-01-01 17:30:00,8.0862,8.0019,8.1778,8.0002,13804.94
2018-01-01 18:00:00,8.0019,8.0558,8.1,7.9592,8445.07
2018-01-01 18:30:00,8.0754,8.0647,8.1,8.0256,4320.500000000001
2018-01-01 19:00:00,8.051,8.1449,8.1449,8.02,5316.8
2018-01-01 19:30:00,8.1449,8.115,8.15,8.09,7600.290000000001
2018-01-01 20:00:00,8.115,8.2185,8.2288,8.07,10861.029999999995
2018-01-01 20:30:00,8.2123,8.1919,8.2664,8.1601,9325.810000000001
2018-01-01 21:00:00,8.192,8.2914,8.32,8.1707,4514.059999999999
2018-01-01 21:30:00,8.2914,8.3229,8.3499,8.2681,9626.150000000001
2018-01-01 22:00:00,8.3008,8.369,8.3998,8.2946,10601.690000000002
2018-01-01 22:30:00,8.3691,8.3706,8.4,8.3305,10857.72
2018-01-01 23:00:00,8.355,8.399,8.4299,8.32,18712.809999999994
2018-01-01 23:30:00,8.399,8.45,8.45,8.3113,10907.359999999999
