,open,close,high,low,volume
2018-01-01 00:00:00,13715.65,13529.01,13715.65,13400.01,443.35619899999995
2018-01-01 01:00:00,13528.99,13203.06,13595.89,13155.38,383.69700600000004
2018-01-01 02:00:00,13203.0,13330.18,13418.43,13200.0,429.064572
2018-01-01 03:00:00,13330.26,13410.03,13611.27,13290.0,420.08703
2018-01-01 04:00:00,13434.98,13601.01,13623.29,13322.15,340.8073290000001
2018-01-01 05:00:00,13615.2,13558.99,13699.0,13526.5,404.229046
2018-01-01 06:00:00,13539.0,13780.41,13800.0,13510.0,264.989684
2018-01-01 07:00:00,13780.0,13570.35,13818.55,13555.02,292.18877699999996
2018-01-01 08:00:00,13569.98,13499.99,13735.24,13400.0,271.813553
2018-01-01 09:00:00,13499.97,13616.99,13670.0,13459.11,213.09582900000007
2018-01-01 10:00:00,13632.0,13570.01,13657.92,13497.98,169.51219599999993
2018-01-01 11:00:00,13573.0,13220.56,13589.89,13001.13,665.3343529999996
2018-01-01 12:00:00,13220.56,13172.42,13300.0,13056.23,260.49270799999994
2018-01-01 13:00:00,13150.05,13017.0,13200.41,12815.7,451.901126
2018-01-01 14:00:00,12999.71,13211.39,13245.0,12750.0,692.4673619999998
2018-01-01 15:00:00,13211.39,13247.0,13330.0,13120.38,427.0719569999999
2018-01-01 16:00:00,13247.0,13018.0,13247.08,12966.42,367.3935659999999
2018-01-01 17:00:00,13018.0,13022.0,13198.98,13000.0,228.57202800000002
2018-01-01 18:00:00,13007.87,13135.0,13256.28,12940.0,244.36675500000004
2018-01-01 19:00:00,13135.0,13240.37,13290.65,13106.61,252.00488500000003
2018-01-01 20:00:00,13222.03,13399.24,13472.0,13222.03,412.02686800000004
2018-01-01 21:00:00,13399.23,13481.01,13580.67,13380.82,326.92313500000006
2018-01-01 22:00:00,13494.99,13452.0,13599.7,13450.96,303.3013850000001
2018-01-01 23:00:00,13455.24,13380.0,13500.0,13355.01,345.21849500000013
2018-01-02 00:00:00,13382.16,13750.01,13850.0,13382.16,466.5961139999998
2018-01-02 01:00:00,13769.98,13600.0,13800.0,13590.0,517.4619250000002
2018-01-02 02:00:00,13611.93,13522.0,13678.33,13398.0,714.5347810000003
2018-01-02 03:00:00,13520.32,13353.78,13539.98,13231.96,666.940106
2018-01-02 04:00:00,13353.78,13127.31,13480.84,12890.02,992.418927
2018-01-02 05:00:00,13129.03,13166.95,13244.99,13090.7,600.002711
2018-01-02 06:00:00,13166.95,13255.98,13338.66,13041.5,722.3100350000002
2018-01-02 07:00:00,13256.07,13343.0,13359.98,13150.0,665.5843800000002
