,open,close,high,low,volume
2020-08-18 23:00:00,2.09,2.9791,4.44,2.0,3885009.9600000014
2020-08-18 23:30:00,2.9791,3.1,3.18,2.961,2154872.01
2020-08-19 00:00:00,3.1,3.0509,3.128,3.02,738204.4799999999
2020-08-19 00:30:00,3.0535,3.105,3.14,2.9738,816465.89
2020-08-19 01:00:00,3.105,3.0811,3.125,3.0584,384459.80000000016
2020-08-19 01:30:00,3.0819,3.1063,3.1299,3.0713,428619.64
2020-08-19 02:00:00,3.1082,3.0067,3.1124,2.98,667878.56
2020-08-19 02:30:00,3.0067,2.9628,3.08,2.9,804891.2999999999
2020-08-19 03:00:00,2.9631,2.9002,3.0032,2.8902,471077.29
2020-08-19 03:30:00,2.9078,2.885,2.91,2.64,1297776.3099999994
2020-08-19 04:00:00,2.885,2.863,3.0,2.811,633827.6399999999
2020-08-19 04:30:00,2.867,2.9336,3.068,2.851,694360.5100000001
2020-08-19 05:00:00,2.9334,2.9978,3.0755,2.92,487568.38999999984
2020-08-19 05:30:00,2.9978,2.9255,3.0097,2.875,311307.63999999996
2020-08-19 06:00:00,2.9255,2.984,2.99,2.9,245617.40000000002
2020-08-19 06:30:00,2.9839,3.0095,3.04,2.92,288494.3
2020-08-19 07:00:00,3.0095,3.1235,3.1999,2.9911,1062709.6699999997
2020-08-19 07:30:00,3.1235,3.195,3.195,3.0541,654468.5099999999
2020-08-19 08:00:00,3.195,3.0667,3.195,3.03,345180.65999999986
2020-08-19 08:30:00,3.063,3.0362,3.124,3.01,337057.9099999999
2020-08-19 09:00:00,3.0361,3.0326,3.13,3.0102,322878.29000000004
2020-08-19 09:30:00,3.0385,3.0401,3.0499,3.0103,150801.37999999998
2020-08-19 10:00:00,3.0497,3.0367,3.09,3.0202,157156.40000000002
2020-08-19 10:30:00,3.0367,3.0014,3.0398,2.9,338328.99999999994
2020-08-19 11:00:00,3.0006,3.0007,3.0082,2.93,200068.63000000006
2020-08-19 11:30:00,3.0006,3.0,3.01,2.9931,109201.44000000003
2020-08-19 12:00:00,3.0,2.924,3.0006,2.9,220000.48
2020-08-19 12:30:00,2.9265,2.9897,3.0006,2.9265,209332.27999999994
2020-08-19 13:00:00,2.9898,2.935,3.0078,2.922,331886.4700000001
2020-08-19 13:30:00,2.936,2.9354,2.9663,2.9011,257146.55000000008
2020-08-19 14:00:00,2.9431,2.9663,2.9899,2.9353,166548.42
2020-08-19 14:30:00,2.9658,2.9934,3.008,2.94,178266.02999999994
2020-08-19 15:00:00,2.9936,2.96,2.9936,2.9451,208777.90999999997
2020-08-19 15:30:00,2.96,2.9401,2.9785,2.94,122353.12000000001
2020-08-19 16:00:00,2.9425,3.0002,3.0298,2.9291,207616.36999999997
2020-08-19 16:30:00,2.9951,3.0002,3.0002,2.9167,150635.71
2020-08-19 17:00:00,3.0002,2.9976,3.0181,2.9889,110169.0
2020-08-19 17:30:00,2.9976,2.982,3.007,2.9505,70506.59
2020-08-19 18:00:00,2.983,2.9139,2.9956,2.91,102497.94
2020-08-19 18:30:00,2.9101,2.9,2.9154,2.7622,337337.31
2020-08-19 19:00:00,2.9,2.91,2.9491,2.891,107136.65000000001
2020-08-19 19:30:00,2.91,2.8027,2.9153,2.72,285822.63000000006
2020-08-19 20:00:00,2.8027,2.8918,2.9065,2.7918,120851.52
2020-08-19 20:30:00,2.8934,2.8994,2.9002,2.8686,77881.25000000001
2020-08-19 21:00:00,2.8991,2.8987,2.91,2.8882,47971.87
2020-08-19 21:30:00,2.8987,2.995,3.0078,2.8817,165566.05000000002
2020-08-19 22:00:00,2.9997,2.9739,3.035,2.9511,198802.61
2020-08-19 22:30:00,2.9739,2.9388,3.0042,2.9333,87833.38000000003
2020-08-19 23:00:00,2.9351,2.97,2.9756,2.93,66818.46
2020-08-19 23:30:00,2.97,2.95,2.9868,2.9001,115615.28000000001
2020-08-20 00:00:00,2.9449,2.9309,2.999,2.93,103971.39000000001
2020-08-20 00:30:00,2.9309,2.8864,2.9783,2.8594,158945.29999999996
2020-08-20 01:00:00,2.8819,2.8656,2.9142,2.861,123169.65000000001
2020-08-20 01:30:00,2.8729,2.9001,2.9199,2.85,118642.98
2020-08-20 02:00:00,2.9001,2.7893,2.9105,2.7846,270295.43999999994
2020-08-20 02:30:00,2.7983,2.7631,2.85,2.72,326520.02999999997
2020-08-20 03:00:00,2.7575,2.7685,2.779,2.715,194910.90000000002
2020-08-20 03:30:00,2.77,2.75,2.82,2.75,119596.0
2020-08-20 04:00:00,2.75,2.76,2.8,2.7205,186863.41000000003
2020-08-20 04:30:00,2.76,2.758,2.7705,2.7341,84782.98000000001
2020-08-20 05:00:00,2.7531,2.7044,2.7744,2.6918,157789.75
2020-08-20 05:30:00,2.7119,2.7344,2.7465,2.6759,133852.54
2020-08-20 06:00:00,2.7345,2.7665,2.7665,2.6833,162591.02
2020-08-20 06:30:00,2.754,2.7555,2.7854,2.753,99182.5
2020-08-20 07:00:00,2.7662,2.8435,2.915,2.7662,195919.94
2020-08-20 07:30:00,2.8553,2.835,2.8926,2.8275,198104.74
2020-08-20 08:00:00,2.8311,2.8777,2.8789,2.8038,98665.29999999996
2020-08-20 08:30:00,2.8777,2.8505,2.8886,2.843,90330.97
2020-08-20 09:00:00,2.8423,2.8622,2.8888,2.8403,77611.53000000001
2020-08-20 09:30:00,2.8634,2.8488,2.8965,2.8313,95374.79
2020-08-20 10:00:00,2.8454,2.811,2.8539,2.8098,341024.18
2020-08-20 10:30:00,2.811,2.85,2.86,2.7803,196351.59
2020-08-20 11:00:00,2.8499,2.8548,2.895,2.8441,229314.55
2020-08-20 11:30:00,2.8548,2.8715,2.8908,2.8547,180260.81
2020-08-20 12:00:00,2.8715,2.882,2.9398,2.8708,259225.06
2020-08-20 12:30:00,2.8802,2.8562,2.8833,2.85,179960.72999999998
2020-08-20 13:00:00,2.8562,2.849,2.87,2.8133,88359.3
