,open,close,high,low,volume
2018-01-01 00:00:00,733.01,727.62,734.52,720.03,2105.901
2018-01-01 01:00:00,727.01,717.97,732.0,716.8,2305.9708599999994
2018-01-01 02:00:00,717.67,724.05,725.75,717.59,2166.4572499999995
2018-01-01 03:00:00,723.95,734.5,737.99,722.7,2160.9045
2018-01-01 04:00:00,734.99,744.82,744.98,730.01,2335.3370499999996
2018-01-01 05:00:00,744.78,748.99,750.0,742.08,2289.1926599999993
2018-01-01 06:00:00,748.91,762.18,762.18,746.21,2504.1287599999996
2018-01-01 07:00:00,762.18,751.99,763.55,750.0,2363.688870000001
2018-01-01 08:00:00,751.77,745.0,758.1,737.4,2384.4636900000005
2018-01-01 09:00:00,744.08,753.21,755.0,744.08,1817.60549
2018-01-01 10:00:00,754.22,757.1,759.0,750.0,1619.8709500000004
2018-01-01 11:00:00,757.07,741.01,758.0,730.58,3117.42838
2018-01-01 12:00:00,741.01,745.0,748.8,737.74,2263.7879
2018-01-01 13:00:00,746.52,738.93,747.06,729.79,2714.3990699999995
2018-01-01 14:00:00,738.99,742.74,744.67,724.15,3771.6487899999993
2018-01-01 15:00:00,742.41,748.8,752.27,738.37,2534.2508799999996
2018-01-01 16:00:00,748.27,739.08,748.91,733.0,1888.0076199999999
2018-01-01 17:00:00,739.25,737.02,747.18,735.59,2244.683769999999
2018-01-01 18:00:00,737.01,742.98,743.58,734.0,1626.9916699999999
2018-01-01 19:00:00,742.98,746.23,749.98,741.64,1997.32056
2018-01-01 20:00:00,746.23,757.42,758.25,744.39,1982.9413699999998
2018-01-01 21:00:00,757.42,759.28,762.62,756.51,1990.7618400000003
2018-01-01 22:00:00,759.0,754.58,760.99,752.04,1624.1918799999999
2018-01-01 23:00:00,754.56,754.99,757.73,750.46,2099.3240399999995
2018-01-02 00:00:00,754.99,784.74,786.55,749.06,4718.857899999999
2018-01-02 01:00:00,784.75,854.29,870.0,780.32,7055.002280000001
2018-01-02 02:00:00,850.25,857.94,899.5,827.0,16133.916839999998
2018-01-02 03:00:00,857.94,826.92,857.98,825.25,7034.138010000001
2018-01-02 04:00:00,827.0,833.99,850.0,817.0,6908.168689999999
2018-01-02 05:00:00,833.99,842.23,855.26,833.72,3645.7572099999998
2018-01-02 06:00:00,842.25,846.09,857.0,842.22,2620.7130800000004
2018-01-02 07:00:00,846.99,847.6,852.0,841.99,2403.5320399999996
2018-01-02 08:00:00,847.6,836.42,847.6,835.85,3246.5583899999992
2018-01-02 09:00:00,837.87,837.05,840.0,825.11,3004.66842
2018-01-02 10:00:00,837.06,848.5,849.9,836.21,2683.444019999998
2018-01-02 11:00:00,848.26,849.1,853.97,843.18,3185.28825
2018-01-02 12:00:00,849.57,843.15,854.5,840.0,3355.8421500000004
2018-01-02 13:00:00,843.15,861.95,861.95,835.83,4374.01134
2018-01-02 14:00:00,861.93,856.93,866.65,850.0,3594.4358899999997
2018-01-02 15:00:00,856.92,865.56,866.12,855.8,5074.67601
2018-01-02 16:00:00,865.56,862.0,878.0,860.0,4937.607330000002
2018-01-02 17:00:00,862.0,867.68,867.8,858.48,3146.568550000001
2018-01-02 18:00:00,867.69,854.93,874.34,831.14,5948.752129999999
2018-01-02 19:00:00,854.71,850.97,854.93,810.0,8582.855169999997
2018-01-02 20:00:00,850.94,853.47,855.0,831.0,3554.4092100000003
2018-01-02 21:00:00,853.45,860.53,869.41,849.73,3270.275059999999
2018-01-02 22:00:00,860.57,852.56,864.48,835.52,2488.7800699999993
2018-01-02 23:00:00,852.94,855.28,862.0,850.36,2289.5255100000004
2018-01-03 00:00:00,855.13,876.41,879.0,854.9,3092.3939
2018-01-03 01:00:00,876.41,865.0,884.98,860.15,3929.280280000001
2018-01-03 02:00:00,865.0,859.72,867.92,854.0,3229.7308799999996
2018-01-03 03:00:00,857.05,853.07,867.26,850.03,3474.59547
2018-01-03 04:00:00,854.16,861.43,864.99,853.12,3010.12424
2018-01-03 05:00:00,862.47,876.11,878.0,861.27,3358.6348700000003
2018-01-03 06:00:00,876.11,874.0,877.0,866.77,4374.998129999999
2018-01-03 07:00:00,874.94,876.02,879.53,870.0,2687.3980799999995
2018-01-03 08:00:00,876.03,867.63,877.66,863.54,3487.8939900000005
2018-01-03 09:00:00,868.77,843.01,869.48,842.0,5857.111030000001
2018-01-03 10:00:00,843.0,846.11,849.5,820.0,6253.939909999999
2018-01-03 11:00:00,846.11,863.02,864.99,843.23,3374.0767400000004
2018-01-03 12:00:00,863.3,849.91,864.97,847.0,3086.7006200000005
