,open,close,high,low,volume
2019-01-16 10:00:00,0.5355,0.5146,0.5355,0.505,24874.409999999996
2019-01-16 10:30:00,0.5146,0.5066,0.526,0.5003,38490.92
2019-01-16 11:00:00,0.5146,0.51,0.5162,0.5082,7277.02
2019-01-16 11:30:00,0.508,0.498,0.5099,0.498,145952.68000000002
2019-01-16 12:00:00,0.498,0.4892,0.5021,0.4846,149928.45
2019-01-16 12:30:00,0.4892,0.4887,0.492,0.4836,35174.33
2019-01-16 13:00:00,0.4887,0.4877,0.4896,0.4875,19991.99
2019-01-16 13:30:00,0.4877,0.4869,0.4973,0.4869,47061.34
2019-01-16 14:00:00,0.4914,0.475,0.492,0.4668,111302.95999999998
2019-01-16 14:30:00,0.475,0.4746,0.4807,0.473,56706.340000000004
2019-01-16 15:00:00,0.476,0.483,0.4845,0.476,24642.280000000002
2019-01-16 15:30:00,0.4832,0.479,0.484,0.4768,59353.96
2019-01-16 16:00:00,0.4782,0.4746,0.4821,0.4677,61272.840000000004
2019-01-16 16:30:00,0.4746,0.48,0.48,0.4707,16775.83
2019-01-16 17:00:00,0.482,0.4975,0.4976,0.4791,47931.490000000005
2019-01-16 17:30:00,0.4976,0.5043,0.52,0.4939,84320.12000000001
2019-01-16 18:00:00,0.505,0.505,0.519,0.5007,39528.66
2019-01-16 18:30:00,0.5055,0.5016,0.5055,0.5007,18980.329999999998
2019-01-16 19:00:00,0.5,0.4987,0.501,0.495,32334.820000000003
2019-01-16 19:30:00,0.4987,0.5041,0.51,0.4944,35611.33000000001
2019-01-16 20:00:00,0.5031,0.5151,0.52,0.5012,72168.91000000002
2019-01-16 20:30:00,0.5156,0.5127,0.5156,0.5103,30618.170000000002
2019-01-16 21:00:00,0.5097,0.5076,0.5129,0.5024,15956.28
2019-01-16 21:30:00,0.5077,0.5117,0.5122,0.5076,9054.5
2019-01-16 22:00:00,0.5077,0.4939,0.5098,0.4899,33787.17999999999
2019-01-16 22:30:00,0.494,0.4858,0.4979,0.4854,40211.170000000006
2019-01-16 23:00:00,0.4862,0.488,0.491,0.4851,42622.27999999999
2019-01-16 23:30:00,0.488,0.4895,0.4954,0.4865,41729.72000000001
2019-01-17 00:00:00,0.4895,0.477,0.4895,0.4758,97364.34
2019-01-17 00:30:00,0.4769,0.4711,0.4792,0.4711,43209.43
2019-01-17 01:00:00,0.4711,0.4795,0.48,0.4701,59555.25000000001
2019-01-17 01:30:00,0.4795,0.48,0.4821,0.4778,44002.23999999998
2019-01-17 02:00:00,0.4823,0.4791,0.484,0.4776,17969.19
2019-01-17 02:30:00,0.4791,0.4804,0.485,0.4777,17050.100000000002
2019-01-17 03:00:00,0.4804,0.4739,0.4844,0.4735,30178.37
2019-01-17 03:30:00,0.4745,0.4677,0.4755,0.4639,79993.31
2019-01-17 04:00:00,0.4685,0.4692,0.4745,0.4677,50251.53999999999
2019-01-17 04:30:00,0.4711,0.4682,0.4711,0.4653,6773.260000000001
2019-01-17 05:00:00,0.4675,0.4688,0.4691,0.4654,18615.73
2019-01-17 05:30:00,0.4688,0.4711,0.4802,0.4688,17148.230000000003
2019-01-17 06:00:00,0.4729,0.4782,0.4782,0.4721,7213.47
