,open,close,high,low,volume
2018-01-01 00:00:00,223.69,219.59,223.69,218.21,593.1982300000001
2018-01-01 00:30:00,218.78,219.98,221.0,217.25,384.91954999999996
2018-01-01 01:00:00,219.25,219.0,220.5,218.0,504.97962
2018-01-01 01:30:00,219.0,212.75,220.02,212.74,660.8237100000001
2018-01-01 02:00:00,212.75,214.01,216.41,212.75,356.57541
2018-01-01 02:30:00,214.01,216.32,216.99,213.12,379.83803
2018-01-01 03:00:00,215.71,219.96,220.02,215.2,635.5182400000001
2018-01-01 03:30:00,219.96,218.12,220.99,218.0,369.5877699999999
2018-01-01 04:00:00,218.12,223.0,223.0,218.12,520.55771
2018-01-01 04:30:00,222.41,223.95,224.47,222.02,352.5717399999999
2018-01-01 05:00:00,223.96,223.88,225.2,223.05,343.97526
2018-01-01 05:30:00,223.88,224.2,225.58,222.73,255.44259999999997
2018-01-01 06:00:00,224.18,229.41,230.0,223.31,608.3864899999999
2018-01-01 06:30:00,229.4,229.9,230.8,228.65,341.3336200000001
2018-01-01 07:00:00,229.91,226.91,230.0,225.02,443.35915000000006
2018-01-01 07:30:00,227.41,225.09,228.2,224.8,222.39862000000002
2018-01-01 08:00:00,225.13,226.28,227.0,223.17,497.55013999999994
2018-01-01 08:30:00,225.91,224.5,225.91,223.0,512.40222
2018-01-01 09:00:00,224.5,226.1,227.99,223.92,189.35465999999997
2018-01-01 09:30:00,225.91,227.01,227.7,225.61,52.85526
2018-01-01 10:00:00,227.02,225.94,228.26,225.02,318.92178
2018-01-01 10:30:00,226.41,227.89,228.0,225.6,427.8362000000001
2018-01-01 11:00:00,227.9,220.4,228.39,220.2,591.1192899999999
2018-01-01 11:30:00,220.9,223.4,223.4,219.45,209.69641999999996
2018-01-01 12:00:00,223.01,222.79,223.79,221.45,407.77282
2018-01-01 12:30:00,222.81,222.33,223.75,221.83,502.30327
2018-01-01 13:00:00,221.99,219.96,223.75,217.47,274.49888000000004
2018-01-01 13:30:00,219.93,219.0,222.86,216.59,248.33602
2018-01-01 14:00:00,219.0,217.18,219.36,215.5,411.63943000000006
2018-01-01 14:30:00,217.68,223.32,223.43,215.81,355.76594
2018-01-01 15:00:00,223.32,224.08,224.74,220.85,416.60127000000006
2018-01-01 15:30:00,224.11,223.51,231.19,222.66,758.1040699999999
2018-01-01 16:00:00,223.6,220.89,223.6,218.4,412.83492999999993
2018-01-01 16:30:00,220.0,220.0,223.18,218.19,219.05264
2018-01-01 17:00:00,221.25,220.64,221.25,216.55,323.13629000000003
2018-01-01 17:30:00,220.68,219.5,221.95,218.58,234.01114
2018-01-01 18:00:00,219.48,220.51,221.6,218.0,409.63351999999986
2018-01-01 18:30:00,220.63,220.0,220.97,218.98,315.46936
2018-01-01 19:00:00,220.44,220.52,223.69,219.12,463.9264100000001
2018-01-01 19:30:00,220.52,219.47,220.52,218.63,224.22062000000005
2018-01-01 20:00:00,219.47,221.0,221.85,218.87,605.6346800000001
2018-01-01 20:30:00,221.0,221.87,224.0,221.0,704.39444
2018-01-01 21:00:00,221.91,226.01,227.0,221.6,1328.44381
2018-01-01 21:30:00,226.14,225.62,227.0,224.14,435.68447000000003
2018-01-01 22:00:00,225.6,225.8,227.21,224.32,413.16846000000004
2018-01-01 22:30:00,225.8,223.94,226.87,223.59,369.32463000000007
2018-01-01 23:00:00,224.66,222.76,224.99,222.01,293.86551000000003
2018-01-01 23:30:00,222.82,222.61,223.81,222.6,320.22866999999997
2018-01-02 00:00:00,222.62,227.55,227.56,222.62,979.0143299999999
2018-01-02 00:30:00,227.55,229.39,229.87,226.57,900.96653
2018-01-02 01:00:00,229.4,230.5,231.54,229.14,1059.8629
2018-01-02 01:30:00,230.5,236.55,238.09,230.03,1073.2287900000001
2018-01-02 02:00:00,236.56,244.21,250.52,235.52,3908.781919999999
2018-01-02 02:30:00,244.21,246.0,249.99,240.14,3280.56815
2018-01-02 03:00:00,246.0,241.19,248.74,231.09,7191.05126
2018-01-02 03:30:00,240.94,238.81,242.0,238.51,852.89566
2018-01-02 04:00:00,239.94,236.0,241.55,236.0,812.4767899999999
2018-01-02 04:30:00,236.0,233.41,236.53,231.25,768.6139500000002
2018-01-02 05:00:00,233.41,235.86,238.3,233.41,481.98668000000004
2018-01-02 05:30:00,235.39,233.5,236.33,233.01,307.07554
2018-01-02 06:00:00,233.5,234.99,234.99,231.4,353.39038000000005
2018-01-02 06:30:00,234.03,238.67,240.0,233.83,499.3767799999999
2018-01-02 07:00:00,238.81,236.23,238.99,234.64,480.1894799999999
2018-01-02 07:30:00,236.23,240.0,240.0,236.23,974.3177100000001
2018-01-02 08:00:00,239.23,239.5,241.09,239.04,601.2308200000001
2018-01-02 08:30:00,239.5,238.23,240.5,238.2,806.1705499999999
2018-01-02 09:00:00,238.49,240.72,242.18,238.49,442.59138999999993
2018-01-02 09:30:00,240.21,238.92,240.97,238.22,351.64728
2018-01-02 10:00:00,239.45,240.59,241.57,238.58,465.19005999999996
2018-01-02 10:30:00,239.81,239.89,241.0,238.85,694.6966199999997
2018-01-02 11:00:00,239.91,240.5,240.87,239.0,480.3698
2018-01-02 11:30:00,240.41,240.0,240.41,238.44,937.2424499999997
2018-01-02 12:00:00,239.51,242.01,242.2,239.5,882.2846599999999
2018-01-02 12:30:00,242.2,248.0,248.59,242.14,2429.99954
2018-01-02 13:00:00,248.59,250.01,253.49,247.53,2248.04306
2018-01-02 13:30:00,250.11,255.96,255.97,249.2,1922.5984300000002
2018-01-02 14:00:00,255.19,253.5,256.49,252.0,1904.9482700000005
2018-01-02 14:30:00,253.5,250.75,254.58,249.4,1683.2506099999998
2018-01-02 15:00:00,250.75,249.0,251.53,247.27,1824.4321299999995
2018-01-02 15:30:00,249.02,248.4,249.5,247.0,1352.39409
2018-01-02 16:00:00,248.4,251.7,253.42,248.4,1366.08635
2018-01-02 16:30:00,251.54,249.2,253.08,249.19,1197.7968
2018-01-02 17:00:00,249.29,247.74,250.47,247.71,1150.5944000000002
2018-01-02 17:30:00,247.74,243.89,248.29,238.0,1862.5904499999995
2018-01-02 18:00:00,243.94,246.82,247.38,243.94,1275.7411399999996
2018-01-02 18:30:00,246.83,245.55,249.0,242.7,1374.12555
2018-01-02 19:00:00,245.55,247.25,250.49,244.04,2089.73439
2018-01-02 19:30:00,247.25,247.39,250.05,244.71,2566.1250800000003
2018-01-02 20:00:00,248.54,245.31,249.81,243.5,2321.35448
2018-01-02 20:30:00,246.5,247.84,249.45,244.37,1117.94351
2018-01-02 21:00:00,247.6,246.05,249.33,240.0,998.37307
2018-01-02 21:30:00,246.22,247.82,249.4,245.17,537.8445899999999
2018-01-02 22:00:00,246.74,247.3,248.67,246.65,496.69467999999995
2018-01-02 22:30:00,247.44,247.77,249.25,246.43,908.5081200000001
2018-01-02 23:00:00,247.77,248.25,249.21,246.94,617.6802299999999
2018-01-02 23:30:00,248.68,247.33,249.21,246.32,461.0498899999999
2018-01-03 00:00:00,247.33,249.34,250.0,247.33,964.8738400000001
2018-01-03 00:30:00,249.34,248.73,250.3,248.63,691.0262100000001
2018-01-03 01:00:00,249.47,253.0,253.4,248.7,1046.10203
2018-01-03 01:30:00,252.49,251.33,252.58,250.18,1079.4611299999997
2018-01-03 02:00:00,251.33,248.81,251.74,247.6,845.88522
2018-01-03 02:30:00,248.81,247.64,249.31,246.6,904.9587199999999
2018-01-03 03:00:00,247.63,248.5,250.0,246.52,777.87658
2018-01-03 03:30:00,248.03,245.36,248.73,244.38,1199.98383
2018-01-03 04:00:00,245.83,247.42,248.68,245.83,840.2317799999998
2018-01-03 04:30:00,247.05,248.83,250.2,247.05,1407.3249000000003
2018-01-03 05:00:00,248.04,249.34,250.19,247.16,555.61626
2018-01-03 05:30:00,249.35,248.9,250.7,245.0,1006.8775700000001
2018-01-03 06:00:00,249.08,246.85,249.63,244.0,3592.23836
2018-01-03 06:30:00,247.83,250.02,252.1,246.88,2699.93446
2018-01-03 07:00:00,250.02,249.94,251.5,249.94,1793.0820400000002
2018-01-03 07:30:00,249.94,249.74,251.25,249.0,2083.16121
2018-01-03 08:00:00,249.74,246.51,249.92,245.97,2657.24853
2018-01-03 08:30:00,246.51,247.5,250.01,246.51,2220.5194400000005
2018-01-03 09:00:00,247.5,243.5,248.06,243.02,2160.21224
2018-01-03 09:30:00,244.55,240.34,246.77,239.22,9037.075490000001
2018-01-03 10:00:00,240.33,238.13,240.65,233.56,2539.699179999999
2018-01-03 10:30:00,238.0,238.37,239.98,236.12,1288.39933
2018-01-03 11:00:00,238.4,241.5,242.57,238.25,887.2556100000002
2018-01-03 11:30:00,241.5,244.75,244.75,240.79,680.0604500000001
2018-01-03 12:00:00,243.78,242.76,245.37,241.83,1352.06425
2018-01-03 12:30:00,242.76,238.0,243.37,238.0,731.1168900000001
2018-01-03 13:00:00,238.68,243.06,244.0,237.98,1034.8144
2018-01-03 13:30:00,243.09,247.51,247.51,243.06,902.12587
2018-01-03 14:00:00,246.49,246.56,248.0,244.94,1196.1891
2018-01-03 14:30:00,246.55,243.65,247.47,242.99,1592.0949600000001
2018-01-03 15:00:00,243.96,244.09,245.35,243.25,1322.85016
2018-01-03 15:30:00,244.09,244.9,245.29,243.25,668.87305
2018-01-03 16:00:00,245.29,245.49,246.0,243.69,1487.885
2018-01-03 16:30:00,245.05,244.34,245.85,242.88,1066.4428400000002
2018-01-03 17:00:00,243.64,242.93,244.84,242.06,998.60935
2018-01-03 17:30:00,242.89,239.96,243.3,239.01,1683.77507
2018-01-03 18:00:00,239.2,239.9,240.54,238.5,849.08058
2018-01-03 18:30:00,239.9,238.17,240.54,238.12,1171.5514899999998
2018-01-03 19:00:00,238.17,240.7,242.01,236.21,2228.11959
2018-01-03 19:30:00,240.7,240.98,242.37,240.21,1244.5799400000003
2018-01-03 20:00:00,240.28,239.01,242.68,239.01,1640.1375799999996
2018-01-03 20:30:00,239.22,241.29,242.14,238.02,1790.6859500000003
2018-01-03 21:00:00,241.25,243.86,245.0,239.74,685.6232600000001
2018-01-03 21:30:00,243.69,241.62,245.48,240.61,727.76385
2018-01-03 22:00:00,241.61,240.8,241.61,240.26,541.8141699999999
2018-01-03 22:30:00,240.89,240.8,241.89,240.0,916.4342000000001
2018-01-03 23:00:00,240.9,240.32,241.46,239.98,834.1508300000002
2018-01-03 23:30:00,240.59,238.77,241.29,237.07,1743.3880499999996
2018-01-04 00:00:00,238.89,234.44,239.72,234.13,2470.74602
2018-01-04 00:30:00,234.32,234.5,235.34,233.37,436.8537399999999
2018-01-04 01:00:00,234.5,231.0,234.98,230.36,2626.3263600000005
2018-01-04 01:30:00,231.2,234.11,235.92,230.05,1965.7050699999998
2018-01-04 02:00:00,233.5,235.96,240.0,233.0,1796.17198
2018-01-04 02:30:00,235.96,234.01,237.44,233.19,1219.0336000000002
2018-01-04 03:00:00,234.6,234.0,234.6,234.0,19.50669
2018-01-04 05:00:00,233.98,231.61,234.0,231.34,1769.8003199999996
2018-01-04 05:30:00,232.62,233.9,236.0,231.67,1343.4716600000002
2018-01-04 06:00:00,233.9,236.5,237.86,233.83,1124.0662699999996
2018-01-04 06:30:00,236.5,232.82,237.0,232.8,804.6000399999999
2018-01-04 07:00:00,232.81,229.29,233.53,228.99,2351.281809999999
2018-01-04 07:30:00,229.29,228.01,230.18,227.6,1739.4278199999999
2018-01-04 08:00:00,228.01,226.71,231.1,226.01,2270.32058
2018-01-04 08:30:00,226.69,222.06,226.69,220.99,1962.72904
2018-01-04 09:00:00,222.09,225.47,225.61,219.38,2469.637620000001
2018-01-04 09:30:00,225.5,229.02,231.0,225.23,1719.5033400000004
2018-01-04 10:00:00,229.04,227.32,229.65,225.14,1126.6880600000002
2018-01-04 10:30:00,227.98,226.67,229.77,226.67,1033.95117
2018-01-04 11:00:00,226.42,227.58,228.6,225.0,855.7169200000001
2018-01-04 11:30:00,227.58,229.38,229.88,227.58,1442.4419099999996
2018-01-04 12:00:00,228.86,226.78,230.0,226.75,1542.79556
2018-01-04 12:30:00,227.0,226.69,227.74,224.27,1365.7849700000002
2018-01-04 13:00:00,226.69,228.94,229.58,226.6,1809.22519
2018-01-04 13:30:00,228.17,227.05,230.0,226.01,2136.80856
2018-01-04 14:00:00,227.05,226.42,228.5,225.26,1651.76538
2018-01-04 14:30:00,226.43,226.35,227.99,224.54,2349.6081000000004
2018-01-04 15:00:00,225.84,221.0,227.99,220.99,3381.358209999999
2018-01-04 15:30:00,221.0,222.81,226.41,220.89,2098.0478
2018-01-04 16:00:00,222.81,223.52,224.0,220.0,1903.6041699999996
2018-01-04 16:30:00,223.52,234.03,234.97,223.02,5651.914990000001
2018-01-04 17:00:00,234.03,234.9,238.0,232.01,2148.50949
2018-01-04 17:30:00,234.91,230.49,236.99,227.4,2185.4269
2018-01-04 18:00:00,230.0,230.0,234.96,229.4,2777.0880999999995
2018-01-04 18:30:00,230.01,231.21,233.97,230.0,1811.2653199999995
2018-01-04 19:00:00,231.22,232.0,233.0,229.01,991.62242
2018-01-04 19:30:00,232.0,231.98,234.68,230.63,1652.80379
2018-01-04 20:00:00,231.97,228.35,232.56,228.19,1998.0900600000004
2018-01-04 20:30:00,228.35,226.2,228.96,224.32,1733.3514499999999
2018-01-04 21:00:00,226.21,229.91,230.0,226.21,1025.51363
2018-01-04 21:30:00,229.91,226.98,231.01,226.98,1275.3226699999998
2018-01-04 22:00:00,226.98,227.98,228.71,225.0,699.31037
2018-01-04 22:30:00,228.34,230.15,231.87,228.03,951.3515399999999
2018-01-04 23:00:00,230.06,232.1,233.55,225.0,1417.3926199999999
2018-01-04 23:30:00,232.11,233.0,233.88,231.5,1076.3636199999996
2018-01-05 00:00:00,233.04,231.0,233.32,230.0,1009.2727699999998
2018-01-05 00:30:00,231.0,232.36,232.91,230.56,886.6939800000001
2018-01-05 01:00:00,232.65,232.48,234.68,231.48,931.5597599999999
2018-01-05 01:30:00,232.49,234.0,234.75,232.0,619.7766900000001
2018-01-05 02:00:00,234.01,240.95,241.12,234.0,2201.5861300000006
2018-01-05 02:30:00,240.03,241.48,245.51,240.0,2017.2903
2018-01-05 03:00:00,240.89,239.17,243.49,238.25,1297.4998100000005
2018-01-05 03:30:00,239.16,239.44,240.84,237.83,856.8665399999998
2018-01-05 04:00:00,239.44,237.12,243.53,237.01,1303.50985
2018-01-05 04:30:00,237.12,236.28,239.56,235.0,1239.25769
2018-01-05 05:00:00,236.28,239.28,239.29,235.12,2954.33674
2018-01-05 05:30:00,238.3,241.0,242.45,237.95,1009.15408
2018-01-05 06:00:00,241.0,241.97,242.58,240.01,580.3904600000001
2018-01-05 06:30:00,241.97,239.45,242.05,239.25,1006.2205900000001
2018-01-05 07:00:00,239.45,239.08,241.99,237.68,949.56085
2018-01-05 07:30:00,239.08,240.93,241.94,236.84,1368.87444
2018-01-05 08:00:00,240.43,241.17,242.52,239.62,1059.6869499999998
2018-01-05 08:30:00,241.93,244.11,244.11,240.79,820.05044
2018-01-05 09:00:00,242.98,244.45,246.55,241.68,2746.0248599999995
2018-01-05 09:30:00,244.45,243.72,246.05,243.08,1647.8895000000002
2018-01-05 10:00:00,243.31,244.09,244.75,242.84,750.7853999999999
2018-01-05 10:30:00,243.96,247.86,249.32,243.06,1276.47441
2018-01-05 11:00:00,247.47,248.25,249.0,245.54,1076.72104
2018-01-05 11:30:00,248.18,247.11,248.98,246.5,1438.71806
2018-01-05 12:00:00,247.12,244.69,247.48,244.02,947.8119900000003
2018-01-05 12:30:00,244.68,244.2,245.72,243.23,1224.0331800000004
2018-01-05 13:00:00,244.22,245.7,246.09,243.57,1606.83918
2018-01-05 13:30:00,245.7,245.99,247.3,244.56,1133.03273
2018-01-05 14:00:00,245.82,245.85,247.03,244.37,1065.4260499999998
2018-01-05 14:30:00,245.87,245.5,248.98,244.4,791.5332600000002
2018-01-05 15:00:00,245.39,243.6,245.78,243.59,768.01504
2018-01-05 15:30:00,243.64,244.24,246.28,242.68,1351.4298599999995
2018-01-05 16:00:00,244.63,250.49,250.99,244.38,1234.74369
2018-01-05 16:30:00,250.68,242.91,250.68,241.01,2283.73468
2018-01-05 17:00:00,242.91,240.49,245.48,240.0,1694.8290600000003
2018-01-05 17:30:00,240.27,236.23,242.85,235.0,2203.97424
2018-01-05 18:00:00,236.23,236.59,238.13,235.0,2321.11463
2018-01-05 18:30:00,236.59,238.26,240.0,235.0,2024.4245400000004
2018-01-05 19:00:00,238.43,241.57,243.9,238.04,1899.04141
2018-01-05 19:30:00,241.61,243.36,244.3,240.79,867.7556299999999
2018-01-05 20:00:00,242.65,241.55,244.01,240.77,1141.6795800000002
2018-01-05 20:30:00,242.43,242.47,243.88,240.91,985.8242600000001
2018-01-05 21:00:00,242.47,242.13,243.87,240.91,1340.2971599999998
2018-01-05 21:30:00,242.62,242.0,243.47,241.22,2437.1128299999996
2018-01-05 22:00:00,242.45,239.32,242.77,238.5,1378.88417
2018-01-05 22:30:00,240.01,238.98,240.82,237.0,1542.2362299999998
2018-01-05 23:00:00,238.3,241.5,243.0,238.0,772.4966999999999
2018-01-05 23:30:00,241.5,240.54,242.0,238.13,945.6732100000002
2018-01-06 00:00:00,240.95,240.26,243.43,238.73,1213.07253
2018-01-06 00:30:00,240.26,242.8,242.9,240.1,1261.05113
2018-01-06 01:00:00,242.4,243.63,244.1,241.71,1299.90876
2018-01-06 01:30:00,243.62,249.4,249.4,242.8,2041.73386
2018-01-06 02:00:00,248.5,265.0,265.0,248.5,5430.81765
2018-01-06 02:30:00,264.49,279.64,286.0,259.64,6942.616480000001
2018-01-06 03:00:00,280.0,269.9,281.0,261.53,9027.543280000002
2018-01-06 03:30:00,270.24,293.38,294.45,269.88,5834.503539999999
2018-01-06 04:00:00,293.0,284.02,295.52,280.0,5599.0248999999985
2018-01-06 04:30:00,284.02,278.78,288.1,275.0,3617.60841
2018-01-06 05:00:00,277.38,274.1,280.77,271.2,2699.408630000001
2018-01-06 05:30:00,275.38,282.75,284.31,271.06,1424.8567600000001
