,open,close,high,low,volume
2018-05-04 08:00:00,0.5,0.91809,1.5,0.5,2295423.41
2018-05-04 08:30:00,0.91809,0.923,0.936,0.9019,2795433.92
2018-05-04 09:00:00,0.923,0.91236,0.9285,0.91078,2101447.58
2018-05-04 09:30:00,0.91236,0.90199,0.9183,0.901,1225248.52
2018-05-04 10:00:00,0.90199,0.90705,0.91027,0.8951,754189.9799999999
2018-05-04 10:30:00,0.90705,0.90128,0.90892,0.90123,422620.49999999994
2018-05-04 11:00:00,0.90128,0.89995,0.90289,0.88,741303.9199999999
2018-05-04 11:30:00,0.89995,0.91596,0.9213,0.89995,972930.0000000001
2018-05-04 12:00:00,0.91596,0.91276,0.9245,0.90801,784971.0799999997
2018-05-04 12:30:00,0.91272,0.90098,0.91276,0.9,538829.0900000001
2018-05-04 13:00:00,0.90101,0.90799,0.90985,0.90002,508736.88999999996
2018-05-04 13:30:00,0.90799,0.89722,0.90799,0.89,749353.0900000001
2018-05-04 14:00:00,0.89791,0.89651,0.90489,0.89502,517170.2
2018-05-04 14:30:00,0.89999,0.90275,0.90399,0.89658,539570.0599999999
2018-05-04 15:00:00,0.90112,0.88899,0.90279,0.8843,475918.2000000002
2018-05-04 15:30:00,0.88626,0.88389,0.88991,0.87644,1164913.35
2018-05-04 16:00:00,0.8837,0.89001,0.898,0.878,642924.65
2018-05-04 16:30:00,0.89288,0.89443,0.89466,0.89,189159.94000000006
2018-05-04 17:00:00,0.89499,0.89011,0.8999,0.88868,401291.23
2018-05-04 17:30:00,0.891,0.88421,0.89769,0.8839,255310.90000000002
2018-05-04 18:00:00,0.88698,0.88675,0.88749,0.88112,214972.74000000005
2018-05-04 18:30:00,0.88675,0.89,0.89,0.88199,362802.3700000001
2018-05-04 19:00:00,0.89069,0.88834,0.89075,0.88511,320153.20999999996
2018-05-04 19:30:00,0.88999,0.89199,0.893,0.88828,95829.68
2018-05-04 20:00:00,0.89199,0.89272,0.898,0.89069,198937.79000000004
2018-05-04 20:30:00,0.89274,0.89618,0.8979,0.89225,114571.31
2018-05-04 21:00:00,0.89618,0.904,0.90699,0.89618,521607.52999999997
2018-05-04 21:30:00,0.90383,0.9,0.90383,0.897,211437.56999999992
2018-05-04 22:00:00,0.9,0.8957,0.90195,0.89379,267669.83999999997
2018-05-04 22:30:00,0.89575,0.89726,0.89999,0.89338,115285.52
2018-05-04 23:00:00,0.897,0.89042,0.89726,0.89002,214891.45000000004
2018-05-04 23:30:00,0.89042,0.8899,0.89218,0.88907,175308.30000000008
2018-05-05 00:00:00,0.8898,0.90388,0.9046,0.888,402795.2700000001
2018-05-05 00:30:00,0.90388,0.89644,0.905,0.8952,248280.89000000004
2018-05-05 01:00:00,0.89643,0.8926,0.89999,0.89218,471053.8900000001
2018-05-05 01:30:00,0.89462,0.90545,0.90545,0.89261,110249.51000000001
2018-05-05 02:00:00,0.90545,0.903,0.907,0.89769,406765.64999999997
2018-05-05 02:30:00,0.903,0.9009,0.903,0.8971,169553.90000000002
2018-05-05 03:00:00,0.90094,0.90234,0.90234,0.89831,154280.88
2018-05-05 03:30:00,0.90299,0.9016,0.90299,0.898,283006.14999999997
2018-05-05 04:00:00,0.9016,0.90502,0.907,0.9016,221688.71999999994
2018-05-05 04:30:00,0.90601,0.90596,0.90985,0.9038,298366.12999999995
2018-05-05 05:00:00,0.90596,0.90108,0.90714,0.9001,179112.33000000002
